Uuid,Void/Retire,Same as mappings,Fully specified name:en,Short name:en,Description:en,Data class,Data type,Answers,Members,_version:1,_order:5010
,,ICD 10 - WHO:H25013,"Cortical age-related cataract, bilateral (H25013)","Cortical age-related cataract, bilateral",,Diagnosis,N/A,,,,
,,ICD 10 - WHO:H25019,"Cortical age-related cataract, unspecified eye (H25019)","Cortical age-related cataract, unspecified eye",,Diagnosis,N/A,,,,
,,ICD 10 - WHO:H25031,"Anterior subcapsular polar age-related cataract, right eye (H25031)","Anterior subcapsular polar age-related cataract, right eye",,Diagnosis,N/A,,,,
,,ICD 10 - WHO:H25032,"Anterior subcapsular polar age-related cataract, left eye (H25032)","Anterior subcapsular polar age-related cataract, left eye",,Diagnosis,N/A,,,,
,,ICD 10 - WHO:H25033,"Anterior subcapsular polar age-related cataract, bilateral (H25033)","Anterior subcapsular polar age-related cataract, bilateral",,Diagnosis,N/A,,,,
,,ICD 10 - WHO:H25039,"Anterior subcapsular polar age-related cataract, unsp eye (H25039)","Anterior subcapsular polar age-related cataract, unsp eye",,Diagnosis,N/A,,,,
,,ICD 10 - WHO:H25041,"Posterior subcapsular polar age-related cataract, right eye (H25041)","Posterior subcapsular polar age-related cataract, right eye",,Diagnosis,N/A,,,,
,,ICD 10 - WHO:H25042,"Posterior subcapsular polar age-related cataract, left eye (H25042)","Posterior subcapsular polar age-related cataract, left eye",,Diagnosis,N/A,,,,
,,ICD 10 - WHO:H25043,"Posterior subcapsular polar age-related cataract, bilateral (H25043)","Posterior subcapsular polar age-related cataract, bilateral",,Diagnosis,N/A,,,,
,,ICD 10 - WHO:H25049,"Posterior subcapsular polar age-related cataract, unsp eye (H25049)","Posterior subcapsular polar age-related cataract, unsp eye",,Diagnosis,N/A,,,,
,,ICD 10 - WHO:H25091,"Other age-related incipient cataract, right eye (H25091)","Other age-related incipient cataract, right eye",,Diagnosis,N/A,,,,
,,ICD 10 - WHO:H25092,"Other age-related incipient cataract, left eye (H25092)","Other age-related incipient cataract, left eye",,Diagnosis,N/A,,,,
,,ICD 10 - WHO:H25093,"Other age-related incipient cataract, bilateral (H25093)","Other age-related incipient cataract, bilateral",,Diagnosis,N/A,,,,
,,ICD 10 - WHO:H25099,"Other age-related incipient cataract, unspecified eye (H25099)","Other age-related incipient cataract, unspecified eye",,Diagnosis,N/A,,,,
,,ICD 10 - WHO:H2510,"Age-related nuclear cataract, unspecified eye (H2510)","Age-related nuclear cataract, unspecified eye",,Diagnosis,N/A,,,,
,,ICD 10 - WHO:H2511,"Age-related nuclear cataract, right eye (H2511)","Age-related nuclear cataract, right eye",,Diagnosis,N/A,,,,
,,ICD 10 - WHO:H2512,"Age-related nuclear cataract, left eye (H2512)","Age-related nuclear cataract, left eye",,Diagnosis,N/A,,,,
,,ICD 10 - WHO:H2513,"Age-related nuclear cataract, bilateral (H2513)","Age-related nuclear cataract, bilateral",,Diagnosis,N/A,,,,
,,ICD 10 - WHO:H2520,"Age-related cataract, morgagnian type, unspecified eye (H2520)","Age-related cataract, morgagnian type, unspecified eye",,Diagnosis,N/A,,,,
,,ICD 10 - WHO:H2521,"Age-related cataract, morgagnian type, right eye (H2521)","Age-related cataract, morgagnian type, right eye",,Diagnosis,N/A,,,,
,,ICD 10 - WHO:H2522,"Age-related cataract, morgagnian type, left eye (H2522)","Age-related cataract, morgagnian type, left eye",,Diagnosis,N/A,,,,
,,ICD 10 - WHO:H2523,"Age-related cataract, morgagnian type, bilateral (H2523)","Age-related cataract, morgagnian type, bilateral",,Diagnosis,N/A,,,,
,,ICD 10 - WHO:H25811,"Combined forms of age-related cataract, right eye (H25811)","Combined forms of age-related cataract, right eye",,Diagnosis,N/A,,,,
,,ICD 10 - WHO:H25812,"Combined forms of age-related cataract, left eye (H25812)","Combined forms of age-related cataract, left eye",,Diagnosis,N/A,,,,
,,ICD 10 - WHO:H25813,"Combined forms of age-related cataract, bilateral (H25813)","Combined forms of age-related cataract, bilateral",,Diagnosis,N/A,,,,
,,ICD 10 - WHO:H25819,"Combined forms of age-related cataract, unspecified eye (H25819)","Combined forms of age-related cataract, unspecified eye",,Diagnosis,N/A,,,,
,,ICD 10 - WHO:H2589,Other age-related cataract (H2589),Other age-related cataract,,Diagnosis,N/A,,,,
,,ICD 10 - WHO:H259,Unspecified age-related cataract (H259),Unspecified age-related cataract,,Diagnosis,N/A,,,,
,,ICD 10 - WHO:H31111,"Age-related choroidal atrophy, right eye (H31111)","Age-related choroidal atrophy, right eye",,Diagnosis,N/A,,,,
,,ICD 10 - WHO:H31112,"Age-related choroidal atrophy, left eye (H31112)","Age-related choroidal atrophy, left eye",,Diagnosis,N/A,,,,
,,ICD 10 - WHO:H31113,"Age-related choroidal atrophy, bilateral (H31113)","Age-related choroidal atrophy, bilateral",,Diagnosis,N/A,,,,
,,ICD 10 - WHO:H31119,"Age-related choroidal atrophy, unspecified eye (H31119)","Age-related choroidal atrophy, unspecified eye",,Diagnosis,N/A,,,,
,,ICD 10 - WHO:H3530,Unspecified macular degeneration (H3530),Unspecified macular degeneration,,Diagnosis,N/A,,,,
,,ICD 10 - WHO:H3531,Nonexudative age-related macular degeneration (H3531),Nonexudative age-related macular degeneration,,Diagnosis,N/A,,,,
,,ICD 10 - WHO:H3532,Exudative age-related macular degeneration (H3532),Exudative age-related macular degeneration,,Diagnosis,N/A,,,,
,,ICD 10 - WHO:H35441,"Age-related reticular degeneration of retina, right eye (H35441)","Age-related reticular degeneration of retina, right eye",,Diagnosis,N/A,,,,
,,ICD 10 - WHO:H35442,"Age-related reticular degeneration of retina, left eye (H35442)","Age-related reticular degeneration of retina, left eye",,Diagnosis,N/A,,,,
,,ICD 10 - WHO:H35443,"Age-related reticular degeneration of retina, bilateral (H35443)","Age-related reticular degeneration of retina, bilateral",,Diagnosis,N/A,,,,
,,ICD 10 - WHO:H35449,"Age-related reticular degeneration of retina, unsp eye (H35449)","Age-related reticular degeneration of retina, unsp eye",,Diagnosis,N/A,,,,
,,ICD 10 - WHO:H43821,"Vitreomacular adhesion, right eye (H43821)","Vitreomacular adhesion, right eye",,Diagnosis,N/A,,,,
,,ICD 10 - WHO:H43822,"Vitreomacular adhesion, left eye (H43822)","Vitreomacular adhesion, left eye",,Diagnosis,N/A,,,,
,,ICD 10 - WHO:H43823,"Vitreomacular adhesion, bilateral (H43823)","Vitreomacular adhesion, bilateral",,Diagnosis,N/A,,,,
,,ICD 10 - WHO:H43829,"Vitreomacular adhesion, unspecified eye (H43829)","Vitreomacular adhesion, unspecified eye",,Diagnosis,N/A,,,,
,,ICD 10 - WHO:I200,Unstable angina (I200),Unstable angina,,Diagnosis,N/A,,,,
,,ICD 10 - WHO:I201,Angina pectoris with documented spasm (I201),Angina pectoris with documented spasm,,Diagnosis,N/A,,,,
,,ICD 10 - WHO:I208,Other forms of angina pectoris (I208),Other forms of angina pectoris,,Diagnosis,N/A,,,,
,,ICD 10 - WHO:I209,"Angina pectoris, unspecified (I209)","Angina pectoris, unspecified",,Diagnosis,N/A,,,,
,,ICD 10 - WHO:I2101,STEMI involving left main coronary artery (I2101),STEMI involving left main coronary artery,,Diagnosis,N/A,,,,
,,ICD 10 - WHO:I2102,STEMI involving left anterior descending coronary artery (I2102),STEMI involving left anterior descending coronary artery,,Diagnosis,N/A,,,,
,,ICD 10 - WHO:I2109,STEMI involving oth coronary artery of anterior wall (I2109),STEMI involving oth coronary artery of anterior wall,,Diagnosis,N/A,,,,
,,ICD 10 - WHO:I2111,STEMI involving right coronary artery (I2111),STEMI involving right coronary artery,,Diagnosis,N/A,,,,
,,ICD 10 - WHO:I2119,STEMI involving oth coronary artery of inferior wall (I2119),STEMI involving oth coronary artery of inferior wall,,Diagnosis,N/A,,,,
,,ICD 10 - WHO:I2121,STEMI involving left circumflex coronary artery (I2121),STEMI involving left circumflex coronary artery,,Diagnosis,N/A,,,,
,,ICD 10 - WHO:I2129,STEMI involving oth sites (I2129),STEMI involving oth sites,,Diagnosis,N/A,,,,
,,ICD 10 - WHO:I213,ST elevation (STEMI) myocardial infarction of unsp site (I213),ST elevation (STEMI) myocardial infarction of unsp site,,Diagnosis,N/A,,,,
,,ICD 10 - WHO:I214,Non-ST elevation (NSTEMI) myocardial infarction (I214),Non-ST elevation (NSTEMI) myocardial infarction,,Diagnosis,N/A,,,,
,,ICD 10 - WHO:I220,Subsequent STEMI of anterior wall (I220),Subsequent STEMI of anterior wall,,Diagnosis,N/A,,,,
,,ICD 10 - WHO:I221,Subsequent STEMI of inferior wall (I221),Subsequent STEMI of inferior wall,,Diagnosis,N/A,,,,
,,ICD 10 - WHO:I222,Subsequent non-ST elevation (NSTEMI) myocardial infarction (I222),Subsequent non-ST elevation (NSTEMI) myocardial infarction,,Diagnosis,N/A,,,,
,,ICD 10 - WHO:I228,Subsequent STEMI of sites (I228),Subsequent STEMI of sites,,Diagnosis,N/A,,,,
,,ICD 10 - WHO:I229,Subsequent STEMI of unsp site (I229),Subsequent STEMI of unsp site,,Diagnosis,N/A,,,,
,,ICD 10 - WHO:I230,Hemopericardium as current complication following AMI (I230),Hemopericardium as current complication following AMI,,Diagnosis,N/A,,,,
,,ICD 10 - WHO:I231,Atrial septal defect as current complication following AMI (I231),Atrial septal defect as current complication following AMI,,Diagnosis,N/A,,,,
,,ICD 10 - WHO:I232,Ventricular septal defect as current comp following AMI (I232),Ventricular septal defect as current comp following AMI,,Diagnosis,N/A,,,,
,,ICD 10 - WHO:I233,Rupture of card wall w/o hemoperic as current comp fol AMI (I233),Rupture of card wall w/o hemoperic as current comp fol AMI,,Diagnosis,N/A,,,,
,,ICD 10 - WHO:I236,Thombos of atrium/auric append/ventr as current comp fol AMI (I236),Thombos of atrium/auric append/ventr as current comp fol AMI,,Diagnosis,N/A,,,,
,,ICD 10 - WHO:I237,Postinfarction angina (I237),Postinfarction angina,,Diagnosis,N/A,,,,
,,ICD 10 - WHO:I238,Oth current complications following AMI (I238),Oth current complications following AMI,,Diagnosis,N/A,,,,
,,ICD 10 - WHO:I240,Acute coronary thrombosis not resulting in myocardial infrc (I240),Acute coronary thrombosis not resulting in myocardial infrc,,Diagnosis,N/A,,,,
,,ICD 10 - WHO:I241,Dressler's syndrome (I241),Dressler's syndrome,,Diagnosis,N/A,,,,
,,ICD 10 - WHO:I248,Other forms of acute ischemic heart disease (I248),Other forms of acute ischemic heart disease,,Diagnosis,N/A,,,,
,,ICD 10 - WHO:I249,"Acute ischemic heart disease, unspecified (I249)","Acute ischemic heart disease, unspecified",,Diagnosis,N/A,,,,
,,ICD 10 - WHO:I2510,Athscl heart disease of native coronary artery w/o ang pctrs (I2510),Athscl heart disease of native coronary artery w/o ang pctrs,,Diagnosis,N/A,,,,
,,ICD 10 - WHO:I25110,Athscl heart disease of native cor art w unstable ang pctrs (I25110),Athscl heart disease of native cor art w unstable ang pctrs,,Diagnosis,N/A,,,,
,,ICD 10 - WHO:I25111,Athscl heart disease of native cor art w ang pctrs w spasm (I25111),Athscl heart disease of native cor art w ang pctrs w spasm,,Diagnosis,N/A,,,,
,,ICD 10 - WHO:I25118,Athscl heart disease of native cor art w oth ang pctrs (I25118),Athscl heart disease of native cor art w oth ang pctrs,,Diagnosis,N/A,,,,
,,ICD 10 - WHO:I25119,Athscl heart disease of native cor art w unsp ang pctrs (I25119),Athscl heart disease of native cor art w unsp ang pctrs,,Diagnosis,N/A,,,,
,,ICD 10 - WHO:I252,Old myocardial infarction (I252),Old myocardial infarction,,Diagnosis,N/A,,,,
,,ICD 10 - WHO:I25700,"Atherosclerosis of CABG, unsp, w unstable angina pectoris (I25700)","Atherosclerosis of CABG, unsp, w unstable angina pectoris",,Diagnosis,N/A,,,,
,,ICD 10 - WHO:I25701,"Athscl CABG, unsp, w angina pectoris w documented spasm (I25701)","Athscl CABG, unsp, w angina pectoris w documented spasm",,Diagnosis,N/A,,,,
,,ICD 10 - WHO:I25708,"Atherosclerosis of CABG, unsp, w oth angina pectoris (I25708)","Atherosclerosis of CABG, unsp, w oth angina pectoris",,Diagnosis,N/A,,,,
,,ICD 10 - WHO:I25709,"Atherosclerosis of CABG, unsp, w unsp angina pectoris (I25709)","Atherosclerosis of CABG, unsp, w unsp angina pectoris",,Diagnosis,N/A,,,,
,,ICD 10 - WHO:I25710,Athscl autologous vein CABG w unstable angina pectoris (I25710),Athscl autologous vein CABG w unstable angina pectoris,,Diagnosis,N/A,,,,
,,ICD 10 - WHO:I25711,Athscl autologous vein CABG w ang pctrs w documented spasm (I25711),Athscl autologous vein CABG w ang pctrs w documented spasm,,Diagnosis,N/A,,,,
,,ICD 10 - WHO:I25718,Athscl autologous vein CABG w oth angina pectoris (I25718),Athscl autologous vein CABG w oth angina pectoris,,Diagnosis,N/A,,,,
,,ICD 10 - WHO:I25719,Athscl autologous vein CABG w unsp angina pectoris (I25719),Athscl autologous vein CABG w unsp angina pectoris,,Diagnosis,N/A,,,,
,,ICD 10 - WHO:I25720,Athscl autologous artery CABG w unstable angina pectoris (I25720),Athscl autologous artery CABG w unstable angina pectoris,,Diagnosis,N/A,,,,
,,ICD 10 - WHO:I25721,Athscl autologous artery CABG w ang pctrs w documented spasm (I25721),Athscl autologous artery CABG w ang pctrs w documented spasm,,Diagnosis,N/A,,,,
,,ICD 10 - WHO:I25728,Athscl autologous artery CABG w oth angina pectoris (I25728),Athscl autologous artery CABG w oth angina pectoris,,Diagnosis,N/A,,,,
,,ICD 10 - WHO:I25729,Athscl autologous artery CABG w unsp angina pectoris (I25729),Athscl autologous artery CABG w unsp angina pectoris,,Diagnosis,N/A,,,,
,,ICD 10 - WHO:I25730,Athscl nonautologous biological CABG w unstable ang pctrs (I25730),Athscl nonautologous biological CABG w unstable ang pctrs,,Diagnosis,N/A,,,,
,,ICD 10 - WHO:I25731,Athscl nonaut biological CABG w ang pctrs w documented spasm (I25731),Athscl nonaut biological CABG w ang pctrs w documented spasm,,Diagnosis,N/A,,,,
,,ICD 10 - WHO:I25738,Athscl nonautologous biological CABG w oth angina pectoris (I25738),Athscl nonautologous biological CABG w oth angina pectoris,,Diagnosis,N/A,,,,
,,ICD 10 - WHO:I25739,Athscl nonautologous biological CABG w unsp angina pectoris (I25739),Athscl nonautologous biological CABG w unsp angina pectoris,,Diagnosis,N/A,,,,
,,ICD 10 - WHO:I25750,Athscl native cor art of txplt heart w unstable angina (I25750),Athscl native cor art of txplt heart w unstable angina,,Diagnosis,N/A,,,,
,,ICD 10 - WHO:I25751,Athscl native cor art of txplt heart w ang pctrs w spasm (I25751),Athscl native cor art of txplt heart w ang pctrs w spasm,,Diagnosis,N/A,,,,
,,ICD 10 - WHO:I25758,Athscl native cor art of transplanted heart w oth ang pctrs (I25758),Athscl native cor art of transplanted heart w oth ang pctrs,,Diagnosis,N/A,,,,
,,ICD 10 - WHO:I25759,Athscl native cor art of transplanted heart w unsp ang pctrs (I25759),Athscl native cor art of transplanted heart w unsp ang pctrs,,Diagnosis,N/A,,,,
,,ICD 10 - WHO:I25760,Athscl bypass of cor art of txplt heart w unstable angina (I25760),Athscl bypass of cor art of txplt heart w unstable angina,,Diagnosis,N/A,,,,
,,ICD 10 - WHO:I25761,Athscl bypass of cor art of txplt heart w ang pctrs w spasm (I25761),Athscl bypass of cor art of txplt heart w ang pctrs w spasm,,Diagnosis,N/A,,,,
,,ICD 10 - WHO:I25768,Athscl bypass of cor art of txplt heart w oth ang pctrs (I25768),Athscl bypass of cor art of txplt heart w oth ang pctrs,,Diagnosis,N/A,,,,
,,ICD 10 - WHO:I25769,Athscl bypass of cor art of txplt heart w unsp ang pctrs (I25769),Athscl bypass of cor art of txplt heart w unsp ang pctrs,,Diagnosis,N/A,,,,
,,ICD 10 - WHO:I25790,Atherosclerosis of CABG w unstable angina pectoris (I25790),Atherosclerosis of CABG w unstable angina pectoris,,Diagnosis,N/A,,,,
,,ICD 10 - WHO:I25791,Atherosclerosis of CABG w angina pectoris w documented spasm (I25791),Atherosclerosis of CABG w angina pectoris w documented spasm,,Diagnosis,N/A,,,,
,,ICD 10 - WHO:I25798,Atherosclerosis of CABG w oth angina pectoris (I25798),Atherosclerosis of CABG w oth angina pectoris,,Diagnosis,N/A,,,,
,,ICD 10 - WHO:I25799,Atherosclerosis of CABG w unsp angina pectoris (I25799),Atherosclerosis of CABG w unsp angina pectoris,,Diagnosis,N/A,,,,
,,ICD 10 - WHO:I25810,Atherosclerosis of CABG w/o angina pectoris (I25810),Atherosclerosis of CABG w/o angina pectoris,,Diagnosis,N/A,,,,
,,ICD 10 - WHO:I25811,Athscl native cor art of transplanted heart w/o ang pctrs (I25811),Athscl native cor art of transplanted heart w/o ang pctrs,,Diagnosis,N/A,,,,
,,ICD 10 - WHO:I25812,Athscl bypass of cor art of transplanted heart w/o ang pctrs (I25812),Athscl bypass of cor art of transplanted heart w/o ang pctrs,,Diagnosis,N/A,,,,
,,ICD 10 - WHO:I2583,Coronary atherosclerosis due to lipid rich plaque (I2583),Coronary atherosclerosis due to lipid rich plaque,,Diagnosis,N/A,,,,
,,ICD 10 - WHO:I510,"Cardiac septal defect, acquired (I510)","Cardiac septal defect, acquired",,Diagnosis,N/A,,,,
,,ICD 10 - WHO:I513,"Intracardiac thrombosis, not elsewhere classified (I513)","Intracardiac thrombosis, not elsewhere classified",,Diagnosis,N/A,,,,
,,ICD 10 - WHO:I63011,Cerebral infarction due to thrombosis of r verteb art (I63011),Cerebral infarction due to thrombosis of r verteb art,,Diagnosis,N/A,,,,
,,ICD 10 - WHO:I63012,Cerebral infarction due to thrombosis of l verteb art (I63012),Cerebral infarction due to thrombosis of l verteb art,,Diagnosis,N/A,,,,
,,ICD 10 - WHO:I63019,Cerebral infarction due to thombos unsp vertebral artery (I63019),Cerebral infarction due to thombos unsp vertebral artery,,Diagnosis,N/A,,,,
,,ICD 10 - WHO:I6302,Cerebral infarction due to thrombosis of basilar artery (I6302),Cerebral infarction due to thrombosis of basilar artery,,Diagnosis,N/A,,,,
,,ICD 10 - WHO:I63111,Cerebral infarction due to embolism of r verteb art (I63111),Cerebral infarction due to embolism of r verteb art,,Diagnosis,N/A,,,,
,,ICD 10 - WHO:I63112,Cerebral infarction due to embolism of left vertebral artery (I63112),Cerebral infarction due to embolism of left vertebral artery,,Diagnosis,N/A,,,,
,,ICD 10 - WHO:I63119,Cerebral infarction due to embolism of unsp vertebral artery (I63119),Cerebral infarction due to embolism of unsp vertebral artery,,Diagnosis,N/A,,,,
,,ICD 10 - WHO:I6312,Cerebral infarction due to embolism of basilar artery (I6312),Cerebral infarction due to embolism of basilar artery,,Diagnosis,N/A,,,,
,,ICD 10 - WHO:I63211,Cereb infrc due to unsp occls or stenos of right verteb art (I63211),Cereb infrc due to unsp occls or stenos of right verteb art,,Diagnosis,N/A,,,,
,,ICD 10 - WHO:I63212,Cereb infrc due to unsp occls or stenosis of left verteb art (I63212),Cereb infrc due to unsp occls or stenosis of left verteb art,,Diagnosis,N/A,,,,
,,ICD 10 - WHO:I63219,Cereb infrc due to unsp occls or stenosis of unsp verteb art (I63219),Cereb infrc due to unsp occls or stenosis of unsp verteb art,,Diagnosis,N/A,,,,
,,ICD 10 - WHO:I6322,Cerebral infrc due to unsp occls or stenosis of basilar art (I6322),Cerebral infrc due to unsp occls or stenosis of basilar art,,Diagnosis,N/A,,,,
,,ICD 10 - WHO:I6330,Cerebral infarction due to thombos unsp cerebral artery (I6330),Cerebral infarction due to thombos unsp cerebral artery,,Diagnosis,N/A,,,,
,,ICD 10 - WHO:I63311,Cereb infrc due to thombos of right middle cerebral artery (I63311),Cereb infrc due to thombos of right middle cerebral artery,,Diagnosis,N/A,,,,
,,ICD 10 - WHO:I63312,Cerebral infrc due to thombos of left middle cerebral artery (I63312),Cerebral infrc due to thombos of left middle cerebral artery,,Diagnosis,N/A,,,,
,,ICD 10 - WHO:I63319,Cerebral infrc due to thombos unsp middle cerebral artery (I63319),Cerebral infrc due to thombos unsp middle cerebral artery,,Diagnosis,N/A,,,,
,,ICD 10 - WHO:I63321,Cerebral infrc due to thombos of right ant cerebral artery (I63321),Cerebral infrc due to thombos of right ant cerebral artery,,Diagnosis,N/A,,,,
,,ICD 10 - WHO:I63322,Cerebral infrc due to thombos of left ant cerebral artery (I63322),Cerebral infrc due to thombos of left ant cerebral artery,,Diagnosis,N/A,,,,
,,ICD 10 - WHO:I63329,Cerebral infrc due to thombos unsp anterior cerebral artery (I63329),Cerebral infrc due to thombos unsp anterior cerebral artery,,Diagnosis,N/A,,,,
,,ICD 10 - WHO:I63331,Cerebral infrc due to thombos of right post cerebral artery (I63331),Cerebral infrc due to thombos of right post cerebral artery,,Diagnosis,N/A,,,,
,,ICD 10 - WHO:I63332,Cerebral infrc due to thombos of left post cerebral artery (I63332),Cerebral infrc due to thombos of left post cerebral artery,,Diagnosis,N/A,,,,
,,ICD 10 - WHO:I63339,Cerebral infrc due to thombos unsp posterior cerebral artery (I63339),Cerebral infrc due to thombos unsp posterior cerebral artery,,Diagnosis,N/A,,,,
,,ICD 10 - WHO:I63341,Cerebral infrc due to thrombosis of right cereblr artery (I63341),Cerebral infrc due to thrombosis of right cereblr artery,,Diagnosis,N/A,,,,
,,ICD 10 - WHO:I63342,Cerebral infarction due to thrombosis of left cereblr artery (I63342),Cerebral infarction due to thrombosis of left cereblr artery,,Diagnosis,N/A,,,,
,,ICD 10 - WHO:I63349,Cerebral infarction due to thombos unsp cerebellar artery (I63349),Cerebral infarction due to thombos unsp cerebellar artery,,Diagnosis,N/A,,,,
,,ICD 10 - WHO:I6339,Cerebral infarction due to thrombosis of oth cerebral artery (I6339),Cerebral infarction due to thrombosis of oth cerebral artery,,Diagnosis,N/A,,,,
,,ICD 10 - WHO:I6340,Cerebral infarction due to embolism of unsp cerebral artery (I6340),Cerebral infarction due to embolism of unsp cerebral artery,,Diagnosis,N/A,,,,
,,ICD 10 - WHO:I63411,Cereb infrc due to embolism of right middle cerebral artery (I63411),Cereb infrc due to embolism of right middle cerebral artery,,Diagnosis,N/A,,,,
,,ICD 10 - WHO:I63412,Cereb infrc due to embolism of left middle cerebral artery (I63412),Cereb infrc due to embolism of left middle cerebral artery,,Diagnosis,N/A,,,,
,,ICD 10 - WHO:I63419,Cereb infrc due to embolism of unsp middle cerebral artery (I63419),Cereb infrc due to embolism of unsp middle cerebral artery,,Diagnosis,N/A,,,,
,,ICD 10 - WHO:I63421,Cerebral infrc due to embolism of right ant cerebral artery (I63421),Cerebral infrc due to embolism of right ant cerebral artery,,Diagnosis,N/A,,,,
