Uuid,Same as mappings,Void/Retire,Fully specified name:en,Short name:en,Description:en,Data class,Data type,Complex data handler,Answers,Members,Allow decimals,Units,Normal low,Normal high,Absolute low,Absolute high,_version:1,_order:1250
,,,JIB_Syncope,syncope,,Misc,N/A,,,,,,,,,,,
,,,JIB_Sensory Changes,sensory changes,,Misc,N/A,,,,,,,,,,,
,,,JIB_Motor Changes,motor changes,,Misc,N/A,,,,,,,,,,,
,,,JIB_Balance Problems,balance problems,,Misc,N/A,,,,,,,,,,,
,,,JIB_Dizziness,dizziness,,Misc,N/A,,,,,,,,,,,
,,,JIB_Other Neurologic Symptoms,Other Neurological Symptoms,,Misc,Text,,,,,,,,,,,
,,,JIB_Neurologic Symptoms,NEUROLOGICAL Symptoms,,Question,Coded,,JIB_Normal; JIB_Headaches; JIB_Vertigo; JIB_Seizures; JIB_Syncope; JIB_Sensory Changes; JIB_Motor Changes; JIB_Balance Problems; JIB_Dizziness;,,,,,,,,,
,,,JIB_Pain,muscle pain,,Misc,N/A,,,,,,,,,,,
,,,JIB_Joint Pain,joint pain,,Misc,N/A,,,,,,,,,,,
,,,JIB_Stiffness,stiffness,,Misc,N/A,,,,,,,,,,,
,,,JIB_Swelling,swelling,,Misc,N/A,,,,,,,,,,,
,,,JIB_Restriction of Motion,restriction of motion,,Misc,N/A,,,,,,,,,,,
,,,JIB_Other Musculoskeletal Symptoms,Other Musculoskeletal Symptoms,,Misc,Text,,,,,,,,,,,
,,,JIB_Musculoskeletal Symptoms,MUSCULOSKELETAL Symptoms (Joint/Muscle),,Question,Coded,,JIB_Normal; JIB_Pain; JIB_Joint Pain; JIB_Stiffness; JIB_Swelling; JIB_Restriction of Motion; ,,,,,,,,,
,,,JIB_Polyuria or Polydipsia,polyuria/polydipsia,,Misc,N/A,,,,,,,,,,,
,,,JIB_Hirsutism,hirsutism,,Misc,N/A,,,,,,,,,,,
,,,JIB_Other Endocrine Symptoms,Endocrine Details,,Misc,Text,,,,,,,,,,,
,,,JIB_Endocrine Symptoms,ENDOCRINE Symptoms,,Misc,Coded,,JIB_Normal; JIB_Polyuria or Polydipsia; JIB_Hirsutism; ,,,,,,,,,
,,,JIB_Rash,rash,,Misc,N/A,,,,,,,,,,,
,,,JIB_Pruritus,pruritus,,Misc,N/A,,,,,,,,,,,
,,,JIB_Acne,acne,,Misc,N/A,,,,,,,,,,,
,,,JIB_Urticaria,urticaria,,Misc,N/A,,,,,,,,,,,
,,,JIB_Other Skin Symptoms,Other Skin Symptoms,,Misc,Text,,,,,,,,,,,
,,,JIB_Skin Symptoms,SKIN Symptoms,,Question,Coded,,JIB_Normal; JIB_Rash; JIB_Pruritus; JIB_Acne; JIB_Urticaria; ,,,,,,,,,
,,,JIB_Skin Exam,Skin Exam,,Question,Coded,,JIB_Normal; JIB_Abnormal; ,,,,,,,,,
,,,JIB_Signs of Dehydration,poor skin turgor/edema/dehydration signs,,Misc,N/A,,,,,,,,,,,
,,,JIB_Pallor,pallor,,Misc,N/A,,,,,,,,,,,
,,,JIB_Cyanosis,cyanosis,,Misc,N/A,,,,,,,,,,,
,,,JIB_Lesion,lesion,,Misc,N/A,,,,,,,,,,,
,,,JIB_Jaundice,jaundice,,Misc,N/A,,,,,,,,,,,
,,,JIB_Redness,redness,,Misc,N/A,,,,,,,,,,,
,,,JIB_Skin Swelling,swelling,,Misc,N/A,,,,,,,,,,,
,,,JIB_Ecchymosis,ecchymosis,,Misc,N/A,,,,,,,,,,,
,,,JIB_Skin Exam Abnormalities,Skin Signs,,Question,Coded,,JIB_Normal; JIB_Rash; JIB_Pallor; JIB_Cyanosis; JIB_Lesion; JIB_Jaundice; JIB_Redness; JIB_Skin Swelling; JIB_Ecchymosis; JIB_Signs of Dehydration;,,,,,,,,,
,,,JIB_Skin Exam Details,Skin Details,,Question,Text,,,,,,,,,,,
,,,JIB_Head Exam,Head Exam,,Question,Coded,,JIB_Normal; JIB_Abnormal; ,,,,,,,,,
,,,JIB_Sunken or Bulging Fontanelle,sunken/bulging fontanelle,,Misc,N/A,,,,,,,,,,,
,,,JIB_Head Exam Abnormalities,Head Signs,,Question,Coded,,JIB_Normal; JIB_Sunken or Bulging Fontanelle;,,,,,,,,,
,,,JIB_Head Circumference,Head Circumference,,Question,Numeric,,,,TRUE,cm,,,0,,,
,,,JIB_Neck Exam,Neck Exam,,Question,Coded,,JIB_Normal; JIB_Abnormal; ,,,,,,,,,
,,,JIB_Lymphadenopathy,lymphadenopathy,,Misc,N/A,,,,,,,,,,,
,,,JIB_Thyroid mass,thyroid mass,,Misc,N/A,,,,,,,,,,,
,,,JIB_Nuchal Rigidity,nuchal rigidity,,Misc,N/A,,,,,,,,,,,
,,,JIB_Neck Exam Abnormalities,Neck Signs,,Question,Coded,,JIB_Normal; JIB_Lymphadenopathy; JIB_Thyroid mass; JIB_Nuchal Rigidity;,,,,,,,,,
,,,JIB_Ears Exam,Ears Exam,,Question,Coded,,JIB_Normal; JIB_Abnormal; ,,,,,,,,,
,,,JIB_Fluid or Pus,fluid/pus,,Misc,N/A,,,,,,,,,,,
,,,JIB_Perforation,perforation,,Misc,N/A,,,,,,,,,,,
,,,JIB_Earwax Block,earwax block,,Misc,N/A,,,,,,,,,,,
,,,JIB_Suppuration/Mastoid Tenderness,suppuration/mastoid tenderness,,Misc,N/A,,,,,,,,,,,
,,,JIB_Ears Exam Abnormalities,Ear Signs,,Question,Coded,,JIB_Normal; JIB_Fluid or Pus; JIB_Perforation; JIB_Earwax Block; JIB_Suppuration/Mastoid Tenderness;,,,,,,,,,
,,,JIB_Eyes Exam,Eyes Exam,,Question,Coded,,JIB_Normal; JIB_Abnormal; ,,,,,,,,,
,,,JIB_PERRLA,PERRLA,,Misc,N/A,,,,,,,,,,,
,,,JIB_Scleral icterus,scleral icterus,,Misc,N/A,,,,,,,,,,,
,,,JIB_Conjunctiva Redness,conjunctiva redness,,Misc,N/A,,,,,,,,,,,
,,,JIB_Eyes Exam Abnormalities,Eye Signs,,Question,Coded,,JIB_Normal; JIB_PERRLA; JIB_Scleral icterus; JIB_Conjunctiva Redness; ,,,,,,,,,
,,,JIB_HEENT Exam Details and Other,HEENT Details,,Question,Text,,,,,,,,,,,
,,,JIB_Chest and Lungs Exam,Chest/Lungs Exam,,Question,Coded,,JIB_Normal; JIB_Abnormal; ,,,,,,,,,
,,,JIB_Chest Asymmetrical,chest asymmetrical,,Misc,N/A,,,,,,,,,,,
,,,JIB_Chest Indrawing,chest indrawing,,Misc,N/A,,,,,,,,,,,
,,,JIB_Nasal Flaring,nasal flaring,,Misc,N/A,,,,,,,,,,,
,,,JIB_Stridor,stridor,,Misc,N/A,,,,,,,,,,,
,,,JIB_Grunting,grunting,,Misc,N/A,,,,,,,,,,,
,,,JIB_Weeze,wheeze,,Misc,N/A,,,,,,,,,,,
,,,JIB_Rales,rales,,Misc,N/A,,,,,,,,,,,
,,,JIB_Ronchi,ronchi,,Misc,N/A,,,,,,,,,,,
,,,JIB_Chest and Lungs Exam Details,Chest/Lung Details,,Question,Text,,,,,,,,,,,
,,,JIB_Chest and Lungs Exam Abnormalities,Chest/Lung Signs,,Question,Coded,,JIB_Normal; JIB_Chest Asymmetrical; JIB_Chest Indrawing; JIB_Nasal Flaring; JIB_Stridor; JIB_Grunting; JIB_Weeze; JIB_Rales; JIB_Ronchi; ,,,,,,,,,
,,,JIB_Cardiovascular Exam,Cardiovascular Exam,,Question,Coded,,JIB_Normal; JIB_Abnormal; ,,,,,,,,,
,,,JIB_Regular Rate and Rhythm,RRR,,Question,Boolean,,,,,,,,,,,
,,,JIB_Carotid bruit,Carotid bruit,,Question,Boolean,,,,,,,,,,,
,,,JIB_Jugular Venous Distention,JVD,,Misc,N/A,,,,,,,,,,,
,,,JIB_Jugular Venous Distention Normal,JVD normal,,Misc,N/A,,,,,,,,,,,
,,,JIB_Murmur Systolic,murmur systolic,,Misc,N/A,,,,,,,,,,,
,,,JIB_Murmur Diastolic,murmur diastolic,,Misc,N/A,,,,,,,,,,,
,,,JIB_Murmur Normal,murmur none,,Misc,N/A,,,,,,,,,,,
,,,JIB_Clubbing or cyanosis,clubbing/cyanosis,,Misc,N/A,,,,,,,,,,,
,,,JIB_Edema,edema,,Misc,N/A,,,,,,,,,,,
,,,JIB_Edema Severity,Severity of edema (0 to 5),,Misc,Numeric,,,,,,,,0,5,,
,,,JIB_Bradycardia,bradycardia,,Misc,N/A,,,,,,,,,,,
,,,JIB_Tachycardia,tachycardia,,Misc,N/A,,,,,,,,,,,
,,,JIB_Heartrate,Heartrate,,Misc,Numeric,,,,,,60,90,10,500,,
,,,JIB_Abnormal pulses location,Describe location of abnormal pulses,,Question,Text,,,,,,,,,,,
,,,JIB_Cardiovascular Exam Details and Other,Cardiovascular Details,,Question,Text,,,,,,,,,,,
,,,JIB_Cardiovascular Exam Abnormalities,Cardiovascular Signs,,Question,Coded,,JIB_Normal; JIB_Jugular Venous Distention; JIB_Jugular Venous Distention Normal; JIB_Murmur Systolic; JIB_Murmur Diastolic; JIB_Murmur Normal; JIB_Clubbing or cyanosis; JIB_Edema; JIB_Bradycardia;JIB_Tachycardia; ,,,,,,,,,
,,,JIB_Abdomen Exam,Abdomen Exam,,Question,Coded,,JIB_Normal; JIB_Abnormal; ,,,,,,,,,
,,,JIB_Bowel sounds,bowel sounds abnormal,,Misc,N/A,,,,,,,,,,,
,,,JIB_Tenderness,tenderness,,Misc,N/A,,,,,,,,,,,
,,,JIB_Mass,mass,,Misc,N/A,,,,,,,,,,,
,,,JIB_Abdomen Exam Abnormalities,Abdomen Signs,,Question,Coded,,JIB_Normal; JIB_Bowel sounds; JIB_Tenderness; JIB_Mass; ,,,,,,,,,
,,,JIB_Abdomen Exam Details,Abdomen Details,,Question,Text,,,,,,,,,,,
,,,JIB_Flank and Back Exam,Flank/Back Exam,,Question,Coded,,JIB_Normal; JIB_Abnormal; ,,,,,,,,,
,,,JIB_Flank and Back Exam Abnormalities,FLANK/BACK Signs,,Question,Coded,,JIB_Normal; JIB_Tenderness; JIB_Mass;,,,,,,,,,
,,,JIB_Flank and Back Exam Details,Flank/Back Details,,Question,Text,,,,,,,,,,,
,,,JIB_Genitourinary Exam,GU Exam,,Question,Coded,,JIB_Normal; JIB_Abnormal; ,,,,,,,,,
,,,JIB_Prostate abnormality,prostate abnormality,,Misc,N/A,,,,,,,,,,,
,,,JIB_Rectum abnormality,rectum abnormality,,Misc,N/A,,,,,,,,,,,
,,,JIB_Urethral discharge,urethral discharge,,Misc,N/A,,,,,,,,,,,
,,,JIB_Genital warts,genital warts,,Misc,N/A,,,,,,,,,,,
,,,JIB_Genital ulcer,genital ulcer,,Misc,N/A,,,,,,,,,,,
,,,JIB_Vulva abnormality,vulva abnormality,,Misc,N/A,,,,,,,,,,,
,,,JIB_Vagina abnormality,vagina abnormality,,Misc,N/A,,,,,,,,,,,
,,,JIB_Cervix abnormality,cervix abnormality,,Misc,N/A,,,,,,,,,,,
,,,JIB_Genitourinary Female Exam Abnormalities,GU Signs (F),,Question,Coded,,JIB_Normal; JIB_Rectum abnormality; JIB_Urethral discharge; JIB_Genital warts; JIB_Genital ulcer; JIB_Vulva abnormality; JIB_Vagina abnormality; JIB_Vaginal Discharge; JIB_Cervix abnormality; ,,,,,,,,,
,,,JIB_Genitourinary Male Exam Abnormalities,GU Signs (M),,Question,Coded,,JIB_Normal; JIB_Prostate abnormality; JIB_Rectum abnormality; JIB_Urethral discharge; ,,,,,,,,,
,,,JIB_Genitourinary Exam Details,GU Details,,Question,Text,,,,,,,,,,,
,,,JIB_Musculoskeletal and Neurological Exam,Musculoskeletal/Neurological,,Question,Coded,,JIB_Normal; JIB_Abnormal; ,,,,,,,,,
,,,JIB_Marasmus/Kwashiorkor,marasmus/kwashiorkor,,Misc,N/A,,,,,,,,,,,
,,,JIB_Musculoskeletal Exam Abnormalities,Musculoskeletal Signs,,Question,Coded,,JIB_Normal; JIB_Marasmus/Kwashiorkor,,,,,,,,,
,,,JIB_Muscle strength,Muscle strength,,Question,Numeric,,,,,,4,5,0,5,,
,,,JIB_Abnormal muscle strength,Abnormal muscle strength,,Abnormal,Boolean,,,,,,,,,,,
,,,JIB_Deep Tendon Reflex,Deep tendon reflex,,Question,Numeric,,,,,,1,3,0,5,,
,,,JIB_Abnormal Deep Tendon Reflex,Abnormal Deep Tendon Reflex,,Abnormal,Boolean,,,,,,,,,,,
,,,JIB_Musculoskeletal and Neurological Exam Details,Musculoskeletal/Neurological Details,,Question,Text,,,,,,,,,,,
,,,JIB_Muscle Strength Set,Muscle Strength (0 to 5),,Concept Details,N/A,,,JIB_Muscle strength; JIB_Abnormal muscle strength;,,,,,,,,
,,,JIB_Deep Tendon Reflex Set,Deep Tendon Reflex (0 to 5),,Concept Details,N/A,,,JIB_Deep Tendon Reflex; JIB_Abnormal Deep Tendon Reflex;,,,,,,,,
,,,JIB_Physical Exam Other,PHYSICAL EXAM Details,,Question,Text,,,,,,,,,,,
,,,JIB_Consultation Form,Consultation,Consultation,ConvSet,N/A,,,JIB_New Case;Chief Complaint Data; JIB_Complaint Desc common; JIB_History of Present Illness; JIB_Progress Note; JIB_Physical Exam Other; JIB_General Symptoms; JIB_Other General Symptoms; JIB_Skin Symptoms; JIB_Skin Exam Abnormalities; JIB_Skin Exam Details; JIB_HEENT Symptoms; JIB_Head Exam Abnormalities; JIB_Head Circumference; JIB_Neck Exam Abnormalities; JIB_Ears Exam Abnormalities; JIB_Eyes Exam Abnormalities; JIB_HEENT Exam Details and Other; JIB_Respiratory Symptoms; JIB_Chest and Lungs Exam Abnormalities; JIB_Chest and Lungs Exam Details; JIB_Cardiovascular Symptoms; JIB_Regular Rate and Rhythm; JIB_Carotid bruit; JIB_Cardiovascular Exam Abnormalities; JIB_Heartrate; JIB_Cardiovascular Exam Details and Other; JIB_Endocrine Symptoms; JIB_Other Endocrine Symptoms; JIB_Gastrointestinal Symptoms; JIB_Abdomen Exam Abnormalities; JIB_Abdomen Exam Details; JIB_Genitourinary Female Symptoms; JIB_Genitourinary Male Symptoms; JIB_Genitourinary Female Exam Abnormalities; JIB_Genitourinary Male Exam Abnormalities; JIB_Genitourinary Exam Details; JIB_Flank and Back Exam Abnormalities; JIB_Flank and Back Exam Details; JIB_Neurologic Symptoms; JIB_Musculoskeletal Symptoms; JIB_Musculoskeletal Exam Abnormalities; JIB_Muscle Strength Set; JIB_Deep Tendon Reflex Set; JIB_Musculoskeletal and Neurological Exam Details; Consultation Images;,,,,,,,,
